# 1s 10s
10	91
17	97
12	106
8	94
14	99
6	91
6	103
13	101
8	103
9	118
12	96
8	102
9	83
12	112
12	83
11	117
8	90
6	95
11	113
15	105
12	101
8	100
20	90
13	100
7	91
4	108
6	96
15	100
13	104
9	111
6	96
11	104
5	108
9	97
13	96
14	114
10	105
13	103
12	103
13	104
13	92
11	94
11	112
15	104
9	105
10	115
15	110
8	110
16	102
11	112
7	91
11	103
11	106
14	113
12	106
15	122
9	107
14	107
11	109
9	114
12	107
17	113
8	106
16	99
4	87
10	102
10	99
7	111
16	100
10	110
12	93
9	80
12	125
9	88
7	94
14	122
7	97
9	130
12	111
11	103
9	127
10	97
14	96
13	93
11	113
12	110
13	98
14	114
13	104
11	93
11	95
12	90
14	129
15	103
13	117
8	95
8	94
8	101
15	114
9	109
